T p Ionization brems pair photonuc Radloss dE/dx CSDARange delta beta dE/dx_R
1.000E+00 1.457E+01 2.404E+00 0.000E+00 0.000E+00 4.526E-05 4.526E-05 4.808E+00 2.831E-03 0.0000 0.13661 3.355E+01
1.200E+00 1.597E+01 2.920E+01 0.000E+00 0.000E+00 4.534E-05 4.534E-05 2.920E+01 9.238E-03 0.0000 0.14944 2.920E+01
1.400E+00 1.726E+01 2.595E+01 0.000E+00 0.000E+00 4.542E-05 4.542E-05 2.595E+01 1.652E-02 0.0000 0.16119 2.595E+01
1.700E+00 1.903E+01 2.234E+01 0.000E+00 0.000E+00 4.555E-05 4.555E-05 2.234E+01 2.902E-02 0.0000 0.17725 2.234E+01
2.000E+00 2.066E+01 1.970E+01 0.000E+00 0.000E+00 4.568E-05 4.568E-05 1.970E+01 4.335E-02 0.0000 0.19186 1.970E+01
2.500E+00 2.312E+01 1.655E+01 0.000E+00 0.000E+00 4.589E-05 4.589E-05 1.655E+01 7.117E-02 0.0000 0.21376 1.655E+01
3.000E+00 2.536E+01 1.435E+01 0.000E+00 0.000E+00 4.610E-05 4.610E-05 1.435E+01 1.037E-01 0.0000 0.23336 1.417E+01
3.500E+00 2.742E+01 1.272E+01 0.000E+00 0.000E+00 4.632E-05 4.632E-05 1.272E+01 1.408E-01 0.0000 0.25120 1.240E+01
4.000E+00 2.935E+01 1.146E+01 0.000E+00 0.000E+00 4.653E-05 4.653E-05 1.146E+01 1.822E-01 0.0000 0.26763 1.106E+01
4.500E+00 3.116E+01 1.046E+01 0.000E+00 0.000E+00 4.674E-05 4.674E-05 1.046E+01 2.280E-01 0.0000 0.28290 9.998E+00
5.000E+00 3.289E+01 9.635E+00 0.000E+00 0.000E+00 4.695E-05 4.695E-05 9.635E+00 2.778E-01 0.0000 0.29720 9.141E+00
5.500E+00 3.453E+01 8.949E+00 0.000E+00 0.000E+00 4.716E-05 4.716E-05 8.949E+00 3.317E-01 0.0000 0.31066 8.434E+00
6.000E+00 3.611E+01 8.368E+00 0.000E+00 0.000E+00 4.738E-05 4.738E-05 8.368E+00 3.895E-01 0.0000 0.32339 7.839E+00
7.000E+00 3.909E+01 7.435E+00 0.000E+00 0.000E+00 4.780E-05 4.780E-05 7.435E+00 5.166E-01 0.0000 0.34700 6.894E+00
8.000E+00 4.189E+01 6.719E+00 0.000E+00 0.000E+00 4.823E-05 4.823E-05 6.719E+00 6.583E-01 0.0000 0.36854 6.177E+00
9.000E+00 4.453E+01 6.150E+00 0.000E+00 0.000E+00 4.865E-05 4.865E-05 6.150E+00 8.141E-01 0.0000 0.38836 5.613E+00
1.000E+01 4.704E+01 5.687E+00 0.000E+00 0.000E+00 4.907E-05 4.907E-05 5.687E+00 9.833E-01 0.0000 0.40675 5.159E+00
1.200E+01 5.177E+01 4.979E+00 0.000E+00 0.000E+00 4.992E-05 4.992E-05 4.979E+00 1.360E+00 0.0000 0.43998 4.469E+00
